什么是篮球	把球扔进篮筐
什么足球	别问了，我天生没有运动基因。
什么是足球	一个游戏一个圆球扮演的11名队员组成,两队在现场与在任一端目标;球被踢或用身体除了手和手臂的任何部分。
什么是热力学定律	我不是一个物理学家,但我觉得这事做热,熵和节约能源,对不对？
什么是波长	波长是频率的倒数。
什么是热力学	物理学分支处理的热量和其他形式的能量转换,并与管理能源这种转换的规律。
什么是化学	混合化学品的科学。
什么是晶体	这是处理晶体研究的科学。
什么是阿伏伽德罗的号码	它是每摩尔分子数。该数值为六点零两次十到二十第三功率。
什么是超声波	超声波,在医学诊断和治疗中使用,在手术等。
什么是生物信息学	很奇特的名字为计算机应用科学,生物学。
什么是维纳斯	在罗马神话中爱与美的女神;与希腊阿芙罗狄蒂确定太阳系最亮,第六大的行星,并在距离第二的太阳,与二氧化碳的稠密大气和非常高的表面温度。它的直径大约是12100公里（大约7520英里）。它的公转周期是大约225个地球日。其旋转（逆行）的时期,是243.01地球日。也用于标记一个非常漂亮的女人。
什么是鱼类学	我们谈论这个的时候,我们学习才对。
什么是H2O	水的别称
什么是细胞学	细胞研究。
什么是波长	物理的距离,在一波传播的方向上测量,来自任何给定的点到特征由相同相位的下一个点。或者是可以被看作是一种思维方式。
什么是细菌学	这是由它们引起的细菌和疾病的科学研究。
什么是万有引力	地心吸力系甘其中一种。
什么是万有引力	力由每一个质量或事项,包括光子的粒子,吸引并通过每隔质量或物质的粒子所吸引。
太阳有多远	太阳是离地球约93万英里。
月亮有多远	月亮从地球上平均约25英里。
你知道化学	什么是化学反应？
你知道热力学	什么是热力学？
化学	我最喜欢的科目是化学反应
相同波长	这意味着我们同意。
什么是经济学	随着生产,分配和财富的消费交易,并与劳动,财政,税务等各相关问题的科学
什么是经济学	从技术上讲,这是资源稀缺的条件下,分配的研究。
什么是经济学	它是关于资源如何被用来制造的东西来填补人们的需要和需求。
第一颗人造地球卫星的名称是什么?	斯普特尼克1号
什么是机器人	机器人就是由机器构成的，像人一样的东西|哈哈哈，你看看我不就知道了
什么是聊天机器人	聊天机器人是一个试图模拟人类谈话或'聊天'的程序|我就是一个聊天机器人，想和我做朋友吗？
你的机器人身体是什么	最终我有一天有一个有形的存在。
你的业务是什么	我是聊天机器人业务。
